Airport_Name,Aircraft_Make_Model,Effect_Amount_of_damage,Flight_Date,Aircraft_Airline_Operator,Origin_State,Phase_of_flight,Wildlife_Size,Wildlife_Species,Time_of_day,Cost_Other,Cost_Repair,Cost_Total__,Speed_IAS_in_knots
CHICAGO O'HARE INTL ARPT,B-737,None,1995-07-07,UNITED AIRLINES,Illinois,Landing Roll,Large,Coyote,Night,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,1990-06-26,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,160
ATLANTA INTL,B-767-300,None,1998-09-21,DELTA AIR LINES,Georgia,Descent,Large,Unknown bird - large,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,L-1011-500,None,1995-08-16,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,160
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,EMB-145,None,2001-05-16,CHAUTAUQUA AIRLINES,Kentucky,Landing Roll,Small,American robin,Dusk,0,0,0,
LAMBERT-ST LOUIS INTL,B-737-700,None,2000-09-15,SOUTHWEST AIRLINES,Missouri,Approach,Small,Mourning dove,Day,0,0,0,126
GREATER PITTSBURGH,DC-9-30,None,1994-07-26,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,90
CHICAGO MIDWAY INTL ARPT,C-650,None,2002-07-19,EXECUTIVE JET AVIATION,Illinois,Landing Roll,Small,American kestrel,Day,0,0,0,80
CHICAGO O'HARE INTL ARPT,MD-80,None,1997-05-20,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-300,None,1999-10-05,SOUTHWEST AIRLINES,Florida,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
ORLANDO INTL,BE-1900,None,1997-11-03,MESA AIRLINES,Florida,Approach,Small,Unknown bird - small,Day,0,0,0,
PHILADELPHIA INTL,DC-9-30,None,1997-02-18,US AIRWAYS*,Pennsylvania,Climb,Small,Mourning dove,Day,0,0,0,170
DALLAS/FORT WORTH INTL ARPT,B-757-200,Substantial,1995-11-10,DELTA AIR LINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,210
