dataset,method,mean_error_count
barley,Reason(NS),10
barley,Reason(S),5
barley,Reflect(S),6
barley,Reflect(S+R),4
burtin,Reason(NS),4
burtin,Reason(S),2
burtin,Reflect(S),3
burtin,Reflect(S+R),2
co2-concentration,Reason(NS),2
co2-concentration,Reason(S),2
co2-concentration,Reflect(S),2
co2-concentration,Reflect(S+R),2
disasters,Reason(NS),6
disasters,Reason(S),7
disasters,Reflect(S),6
disasters,Reflect(S+R),3
driving,Reason(NS),5
driving,Reason(S),4
driving,Reflect(S),3
driving,Reflect(S+R),2
gapminder-health-income,Reason(NS),4
gapminder-health-income,Reason(S),5
gapminder-health-income,Reflect(S),6
gapminder-health-income,Reflect(S+R),3
github,Reason(NS),5
github,Reason(S),5
github,Reflect(S),3
github,Reflect(S+R),2
iowa-electricity,Reason(NS),5
iowa-electricity,Reason(S),5
iowa-electricity,Reflect(S),5
iowa-electricity,Reflect(S+R),4
la-riots,Reason(NS),4
la-riots,Reason(S),3
la-riots,Reflect(S),2
la-riots,Reflect(S+R),1
ohlc,Reason(NS),7
ohlc,Reason(S),4
ohlc,Reflect(S),3
ohlc,Reflect(S+R),2
